,player,wins,losses,matches,win_pct
243,Youssef Hossam,2,1.0,3.0,0.6666666666666666
244,Alexey Vatutin,2,4.0,6.0,0.3333333333333333
245,Edan Leshem,2,2.0,4.0,0.5
246,Gastao Elias,2,8.0,10.0,0.2
247,Alejandro Gonzalez,2,1.0,3.0,0.6666666666666666
248,Marc Polmans,2,5.0,7.0,0.2857142857142857
249,Danilo Petrovic,2,2.0,4.0,0.5
250,Manuel Sanchez,2,2.0,4.0,0.5
251,Zsombor Piros,2,3.0,5.0,0.4
252,Pedja Krstin,2,1.0,3.0,0.6666666666666666
253,Dimitar Kuzmanov,2,4.0,6.0,0.3333333333333333
254,Florian Mayer,2,15.0,17.0,0.11764705882352941
255,Roberto Marcora,2,1.0,3.0,0.6666666666666666
256,Karim Mohamed Maamoun,2,2.0,4.0,0.5
257,Aisam Ul Haq Qureshi,2,1.0,3.0,0.6666666666666666
258,Aslan Karatsev,2,3.0,5.0,0.4
259,Lamine Ouahab,2,2.0,4.0,0.5
260,Christopher Eubanks,2,8.0,10.0,0.2
261,Nicolas Alvarez,1,1.0,2.0,0.5
262,Marcelo Tomas Barrios Vera,1,2.0,3.0,0.3333333333333333
263,Di Wu,1,4.0,5.0,0.2
264,Illya Marchenko,1,2.0,3.0,0.3333333333333333
265,Guilherme Clezar,1,2.0,3.0,0.3333333333333333
266,Tristan Lamasine,1,1.0,2.0,0.5
267,Liam Broady,1,3.0,4.0,0.25
268,John Bryan Decasa Otico,1,2.0,3.0,0.3333333333333333
269,Jurabek Karimov,1,0.0,1.0,1.0
270,Stephane Robert,1,3.0,4.0,0.25
271,Otto Virtanen,1,1.0,2.0,0.5
272,Joao Pedro Sorgi,1,1.0,2.0,0.5
273,Yshai Oliel,1,0.0,1.0,1.0
274,Sumit Nagal,1,9.0,10.0,0.1
275,Andrea Pellegrino,1,1.0,2.0,0.5
276,Patrik Niklas Salminen,1,0.0,1.0,1.0
277,Jason Kubler,1,5.0,6.0,0.16666666666666666
278,Laurynas Grigelis,1,4.0,5.0,0.2
279,Emilio Gomez,1,2.0,3.0,0.3333333333333333
280,Carlos Alcaraz Garfia,1,1.0,2.0,0.5
281,Daniel Masur,1,2.0,3.0,0.3333333333333333
282,Benjamin Bonzi,1,2.0,3.0,0.3333333333333333
283,Lukas Hellum Lilleengen,1,0.0,1.0,1.0
284,Viktor Durasovic,1,4.0,5.0,0.2
285,Jenson Brooksby,1,2.0,3.0,0.3333333333333333
286,Jonas Forejtek,1,1.0,2.0,0.5
287,Duilio Beretta,1,0.0,1.0,1.0
288,Rodrigo Arus,1,0.0,1.0,1.0
289,Frederico Ferreira Silva,1,1.0,2.0,0.5
290,Martin Cuevas,1,4.0,5.0,0.2
291,Skyler Butts,1,0.0,1.0,1.0
292,Victor Estrella,1,9.0,10.0,0.1
293,Oriol Roca Batalla,1,1.0,2.0,0.5
294,Ugo Nastasi,1,1.0,2.0,0.5
295,Andrea Arnaboldi,1,2.0,3.0,0.3333333333333333
296,Bogdan Borza,1,0.0,1.0,1.0
297,Bernabe Zapata Miralles,1,3.0,4.0,0.25
298,Alen Avidzba,1,1.0,2.0,0.5
299,Markus Eriksson,1,1.0,2.0,0.5
300,Finn Tearney,1,0.0,1.0,1.0
301,Holger Rune,1,0.0,1.0,1.0
302,Kevin Krawietz,1,1.0,2.0,0.5
303,Carlos Berlocq,1,8.0,9.0,0.1111111111111111
