,year,score,round,minutes,p1name,p1age,p1ace,p1rank,p1_win_pct,p1_win_pct_hsf,p2name,p2age,p2ace,p2rank,p2_win_pct,p2_win_pct_hsf,p1won,p2won
85,2019,6-4 6-4 6-7(5) 6-7(4) 6-2,R128,249.0,Andy Murray,31.6687200548,19.0,229.0,0.5833333333333334,0.6060606060606061,Roberto Bautista Agut,30.7515400411,7.0,24.0,0.6549295774647887,0.6666666666666666,0,1
86,2013,7-6(6) 7-5 6-4,R32,129.0,Sam Querrey,25.273100616,12.0,22.0,0.5368421052631579,0.4925373134328358,Stan Wawrinka,27.8001368925,13.0,17.0,0.5943396226415094,0.6329113924050633,0,1
87,2018,6-4 6-3 4-6 6-7(4) 6-1,R128,171.0,Dustin Brown,33.1033538672,10.0,129.0,0.2857142857142857,0.47,Joao Sousa,28.796714579099998,7.0,70.0,0.452991452991453,0.4393939393939394,0,1
88,2020,4-6 7-6(2) 6-4 4-6 7-6(8),R32,243.0,John Millman,30.6009582478,11.0,47.0,0.4957264957264957,0.5316455696202531,Roger Federer,38.450376454499995,16.0,3.0,0.8320000000000001,0.8181818181818182,0,1
89,2012,7-5 6-2 6-2,R128,98.0,Alexander Kudryavtsev,26.2231348392,4.0,172.0,0.46,0.47,Roger Federer,30.439425051300002,14.0,3.0,0.8320000000000001,0.8181818181818182,0,1
90,2017,5-7 7-6(4) 6-2 6-2,R16,163.0,Dominic Thiem,23.370294319,13.0,8.0,0.7305389221556886,0.7173913043478259,David Goffin,26.1108829569,15.0,11.0,0.59375,0.5783132530120482,0,1
91,2015,4-6 7-6(4) 6-4 1-0 RET,R64,151.0,Martin Klizan,25.5249828884,11.0,34.0,0.5,0.4,Joao Sousa,25.8069815195,8.0,55.0,0.452991452991453,0.4393939393939394,0,1
92,2016,6-4 6-4 6-2,R128,96.0,Peter Gojowczyk,26.5106091718,5.0,223.0,0.40963855421686746,0.43333333333333335,David Ferrer,33.7960301164,7.0,8.0,0.4146341463414634,0.43478260869565216,0,1
93,2020,6-4 6-3 6-2,R128,138.0,Alexander Bublik,22.5927446954,7.0,56.0,0.4603174603174603,0.44680851063829785,Jordan Thompson,25.7522245038,5.0,66.0,0.4634146341463415,0.4642857142857143,0,1
94,2013,6-3 6-2 6-3,R128,92.0,Leonardo Mayer,25.6700889802,4.0,72.0,0.42696629213483145,0.4166666666666667,Bernard Tomic,20.2327173169,7.0,43.0,0.41025641025641024,0.4736842105263158,0,1
95,2014,7-6(2) 6-1 4-6 6-2,R128,144.0,Daniel Gimeno Traver,28.4353182752,5.0,77.0,0.46,0.47,Milos Raonic,23.0472279261,21.0,11.0,0.6756756756756757,0.6385542168674698,0,1
96,2010,6-4 6-2 2-6 7-5,R32,210.0,Philipp Kohlschreiber,26.2587268994,11.0,26.0,0.4747474747474748,0.4901960784313725,Rafael Nadal,23.627652293,6.0,2.0,0.8714285714285714,0.8513513513513513,0,1
97,2013,3-6 6-1 7-5 6-3,R128,162.0,Dudi Sela,27.780971936999997,1.0,113.0,0.4117647058823529,0.4545454545454545,Nikolay Davydenko,31.6194387406,4.0,40.0,0.55,0.56,0,1
98,2018,6-7(3) 6-3 6-2 6-4,R128,153.0,Matthias Bachinger,30.789869952100002,6.0,182.0,0.5,0.6,David Goffin,27.107460643400003,13.0,7.0,0.59375,0.5783132530120482,0,1
99,2019,6-4 6-3 7-5,R128,135.0,James Duckworth,26.981519507199998,12.0,237.0,0.2727272727272727,0.3157894736842105,Rafael Nadal,32.6160164271,6.0,2.0,0.8714285714285714,0.8513513513513513,0,1
100,2020,6-4 3-6 6-3 6-7(2) 6-0,R128,199.0,Cedrik Marcel Stebe,29.2813141684,7.0,154.0,0.375,0.3333333333333333,Benoit Paire,30.702258726900002,13.0,21.0,0.5035971223021583,0.4725274725274725,0,1
